"","CHFB","CHFCD4","CHFCD8","CHFgama","CHFMONO","CHFNK","PWSB","PWSCD4","PWSCD8","PWSGAMA","PWSMONO","PWSNK"
"CLIC1",0.26143240128604,0.26143240128604,2.63291363477864,-0.921221638843137,-0.646304585347893,-0.776938862635478,0.26143240128604,0.26143240128604,0.26143240128604,-1.10654843977676,0.26143240128604,-0.750494515891606
"CLIC3",-0.436100722395839,-0.436100722395839,1.49745622464575,-1.20792668838688,-0.436100722395839,-0.436100722395839,-0.436100722395839,-0.436100722395839,1.02545042960493,-0.436100722395839,-0.436100722395839,2.17382581330291
"COTL1",-1.4768854757204,-0.626330773701,-0.626330773701,0.358105395639087,-0.626330773701,-0.626330773701,1.64896915870218,-0.626330773701,-0.626330773701,1.24483549773819,0.765594691921676,1.21736537392527
"CREM",-0.564330969828866,-0.564330969828866,-0.564330969828866,0.0132132768517079,-0.564330969828866,-0.564330969828866,-0.564330969828866,0.131920808136971,0.00212848265247612,2.77374295833722,-0.564330969828866,1.02931126282369
"CRIP1",-1.2321968519825,-0.508871564285518,0.399072276744153,-1.20084020562986,-1.11963936448135,-0.508871564285518,1.44984069542072,0.395902138056675,0.831788122057098,0.332784100925445,1.66990378174618,-0.508871564285518
"CST7",-0.702437927725284,-0.702437927725284,1.8951122347736,-0.702437927725284,-0.702437927725284,-0.077992775115419,-0.702437927725284,-0.702437927725284,1.73518898334533,0.625935030154735,-0.702437927725284,0.738822020918738
"CTSC",-0.526788890733542,-0.526788890733542,2.33443405800235,-0.526788890733542,-0.526788890733542,-0.526788890733542,-0.526788890733542,-0.526788890733542,1.4833671665835,-0.526788890733542,0.92329879201603,-0.526788890733542
"CTSL",-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,-0.288675134594813
"CTSW",-0.455513736444991,-0.0187618706390285,2.8662488010259,0.539265511352101,-0.455513736444991,0.391151429238184,-0.455513736444991,-0.455513736444991,-0.455513736444991,-1.04666092994834,-0.455513736444991,0.00183947764113414
"CX3CR1",0.0134325807089534,0.0134325807089534,1.08382045160138,0.0134325807089534,1.37288560583188,0.678797798479746,0.0134325807089534,0.0134325807089534,0.0134325807089534,-0.550916667252877,0.0134325807089534,-2.6786152536228
